nabíjecí_stanice,nabíjení_interval_začátek_datum_a_čas,nabíjení_interval_konec_datum_a_čas,spotřeba_hodnota,spotřeba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2017-08-02T18:37:00,2017-08-02T18:39:00,0.044,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2017-08-01T19:37:00,2017-08-01T20:25:00,1.746,kWh
https://data.zdarns.cz/zdroj/stará-radnice/stojan-1,2017-08-04T17:22:00,2017-08-04T17:39:00,0.616,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-30T11:17:00,2017-09-30T13:12:00,13.749,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-26T15:24:00,2017-09-26T16:00:00,2.156,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-24T18:54:00,2017-09-24T19:56:00,6.841,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-21T19:15:00,2017-09-21T20:01:00,13.615,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-21T17:30:00,2017-09-21T18:26:00,5.418,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-21T14:11:00,2017-09-21T14:20:00,1.639,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-21T13:53:00,2017-09-21T14:10:00,5.079,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-21T13:50:00,2017-09-21T13:50:00,0.090,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-20T15:36:00,2017-09-20T16:19:00,8.080,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-20T11:24:00,2017-09-20T11:46:00,4.099,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-19T22:28:00,2017-09-19T22:35:00,0.731,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-19T21:27:00,2017-09-19T21:36:00,1.000,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-19T15:14:00,2017-09-19T15:43:00,8.219,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-19T10:35:00,2017-09-19T11:01:00,3.919,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-19T09:58:00,2017-09-19T10:15:00,5.979,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-18T16:50:00,2017-09-18T16:57:00,1.573,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-18T16:40:00,2017-09-18T16:46:00,1.563,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-15T14:22:00,2017-09-15T14:46:00,2.656,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-14T19:05:00,2017-09-14T19:41:00,3.975,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-14T15:02:00,2017-09-14T15:09:00,0.844,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-10T09:14:00,2017-09-10T12:10:00,7.948,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-09T13:03:00,2017-09-09T14:57:00,4.573,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-08T22:11:00,2017-09-08T22:11:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-08T20:28:00,2017-09-08T22:10:00,10.825,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-08T20:11:00,2017-09-08T20:27:00,1.678,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-08T14:40:00,2017-09-08T14:52:00,0.161,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-08T11:40:00,2017-09-08T12:58:00,2.208,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-07T19:06:00,2017-09-07T19:36:00,1.244,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-06T18:53:00,2017-09-06T21:54:00,9.238,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-09-05T20:10:00,2017-09-05T22:23:00,6.959,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2017-09-18T16:28:00,2017-09-18T16:40:00,0.364,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-29T19:57:00,2017-11-29T20:17:00,1.181,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-24T15:30:00,2017-11-24T16:26:00,6.154,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-22T20:10:00,2017-11-22T01:03:00,25.239,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-22T19:47:00,2017-11-22T20:03:00,0.980,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-22T19:11:00,2017-11-22T19:19:00,0.513,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-22T16:38:00,2017-11-22T18:36:00,6.970,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-19T15:37:00,2017-11-19T18:53:00,18.258,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-16T15:11:00,2017-11-16T16:03:00,18.996,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-14T16:01:00,2017-11-14T16:11:00,1.084,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-08T06:48:00,2017-11-08T07:21:00,1.949,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-07T18:04:00,2017-11-07T19:41:00,10.585,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-07T15:49:00,2017-11-07T16:19:00,1.800,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-07T11:37:00,2017-11-07T11:52:00,0.838,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-05T18:09:00,2017-11-05T20:24:00,14.710,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-05T13:11:00,2017-11-05T13:16:00,0.253,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-05T09:28:00,2017-11-05T11:06:00,5.931,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-05T09:24:00,2017-11-05T09:26:00,0.099,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-11-05T08:52:00,2017-11-05T09:22:00,1.824,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2017-11-08T07:22:00,2017-11-08T11:44:00,8.463,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-27T11:02:00,2017-12-27T12:48:00,12.005,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-15T17:27:00,2017-12-15T00:06:00,19.270,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-14T19:40:00,2017-12-14T20:13:00,1.940,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-14T19:17:00,2017-12-14T19:33:00,0.923,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-14T17:34:00,2017-12-14T17:51:00,1.064,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-14T15:23:00,2017-12-14T16:23:00,3.604,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-05T13:38:00,2017-12-05T15:28:00,40.983,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-04T16:25:00,2017-12-04T17:00:00,3.918,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-03T20:25:00,2017-12-03T20:54:00,1.739,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-12-03T17:44:00,2017-12-03T18:42:00,3.481,kWh
