nabíjecí_stanice,nabíjení_interval_začátek_datum_a_čas,nabíjení_interval_konec_datum_a_čas,spotřeba_hodnota,spotřeba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-31T18:27:00,2019-01-31T18:54:00,1.915,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-31T18:27:00,2019-01-31T18:27:00,0.000,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-31T17:07:00,2019-01-31T18:26:00,8.675,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-31T14:00:00,2019-01-31T14:35:00,3.895,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-31T08:01:00,2019-01-31T09:34:00,7.781,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-30T16:25:00,2019-01-30T17:08:00,3.249,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-30T07:51:00,2019-01-30T10:08:00,12.383,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-29T14:56:00,2019-01-29T16:09:00,8.074,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-29T06:51:00,2019-01-29T07:53:00,6.125,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-28T11:29:00,2019-01-28T13:27:00,10.329,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-28T10:45:00,2019-01-28T11:27:00,4.634,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-28T08:38:00,2019-01-28T09:51:00,5.458,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-28T07:45:00,2019-01-28T08:26:00,4.453,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-25T19:00:00,2019-01-25T20:46:00,11.446,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-25T18:25:00,2019-01-25T18:45:00,2.170,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-25T13:06:00,2019-01-25T14:07:00,4.715,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-22T18:38:00,2019-01-22T19:24:00,5.004,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-22T16:58:00,2019-01-22T18:12:00,8.223,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-20T10:29:00,2019-01-20T12:07:00,7.333,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-19T11:12:00,2019-01-19T11:57:00,2.051,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-19T11:03:00,2019-01-19T11:10:00,0.411,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-18T14:46:00,2019-01-18T15:56:00,3.756,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-18T10:02:00,2019-01-18T10:27:00,1.921,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-17T19:31:00,2019-01-17T19:55:00,1.905,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-17T09:38:00,2019-01-17T10:44:00,7.283,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-16T09:14:00,2019-01-16T10:08:00,3.740,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-08T20:00:00,2019-01-08T20:35:00,3.768,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-08T15:31:00,2019-01-08T16:59:00,6.596,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-08T15:20:00,2019-01-08T15:31:00,0.818,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-08T15:06:00,2019-01-08T15:15:00,0.645,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-08T13:11:00,2019-01-08T15:05:00,12.535,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-08T11:03:00,2019-01-08T12:26:00,9.138,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-07T07:30:00,2019-01-07T07:49:00,1.996,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-06T11:49:00,2019-01-06T12:41:00,5.120,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-04T14:41:00,2019-01-04T15:41:00,6.253,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-03T19:42:00,2019-01-03T20:24:00,3.558,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-01-02T10:17:00,2019-01-02T11:08:00,5.578,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-23T19:04:00,2019-02-23T19:40:00,3.948,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-21T17:42:00,2019-02-21T18:51:00,4.126,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-19T19:16:00,2019-02-19T20:08:00,3.136,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-18T17:44:00,2019-02-18T18:01:00,1.019,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-16T09:54:00,2019-02-16T10:21:00,3.058,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-14T14:00:00,2019-02-14T14:46:00,3.413,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-14T07:46:00,2019-02-14T08:58:00,5.838,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-13T16:44:00,2019-02-13T17:37:00,5.856,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-12T21:34:00,2019-02-12T21:39:00,0.000,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-12T21:33:00,2019-02-12T21:34:00,0.000,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-12T21:30:00,2019-02-12T21:30:00,0.000,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-12T21:25:00,2019-02-12T21:30:00,0.000,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-12T15:13:00,2019-02-12T16:44:00,10.175,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-12T09:19:00,2019-02-12T10:26:00,2.008,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-11T10:35:00,2019-02-11T11:18:00,3.623,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-09T12:16:00,2019-02-09T13:01:00,2.905,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-08T19:09:00,2019-02-08T20:55:00,11.710,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-08T10:08:00,2019-02-08T12:37:00,15.418,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-08T07:35:00,2019-02-08T08:24:00,5.438,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-07T09:42:00,2019-02-07T18:49:00,32.939,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-05T12:53:00,2019-02-05T15:08:00,14.759,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-05T08:33:00,2019-02-05T09:31:00,21.268,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-05T07:14:00,2019-02-05T07:43:00,3.269,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-03T13:43:00,2019-02-03T14:50:00,5.514,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-03T08:38:00,2019-02-03T08:56:00,1.991,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-02T10:12:00,2019-02-02T10:43:00,3.479,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-01T20:23:00,2019-02-01T21:44:00,7.113,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2019-02-01T16:58:00,2019-02-01T18:14:00,8.195,KWH
