nabíjecí_stanice,nabíjení_interval_začátek_datum_a_čas,nabíjení_interval_konec_datum_a_čas,spotřeba_hodnota,spotřeba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-31T12:19:00,2017-08-31T16:59:00,9.023,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-31T08:09:00,2017-08-31T09:19:00,4.133,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-30T09:28:00,2017-08-30T10:07:00,14.354,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-27T14:36:00,2017-08-27T15:18:00,11.215,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-26T16:23:00,2017-08-26T16:51:00,5.679,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-26T14:23:00,2017-08-26T15:17:00,5.930,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-25T11:33:00,2017-08-25T13:26:00,12.411,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-24T11:20:00,2017-08-24T11:21:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-24T11:19:00,2017-08-24T11:20:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-24T11:17:00,2017-08-24T11:17:00,0.000,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-23T11:24:00,2017-08-23T12:27:00,23.685,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-22T22:54:00,2017-08-22T06:45:00,21.693,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-22T01:57:00,2017-08-22T08:07:00,15.655,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-21T23:59:00,2017-08-21T01:56:00,7.048,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-20T22:05:00,2017-08-20T04:54:00,20.681,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-19T15:13:00,2017-08-19T15:40:00,4.694,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-19T15:06:00,2017-08-19T15:13:00,2.611,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-19T15:05:00,2017-08-19T15:05:00,0.013,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-17T18:31:00,2017-08-17T19:06:00,8.241,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-15T19:14:00,2017-08-15T19:47:00,7.628,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-13T13:25:00,2017-08-13T14:00:00,7.261,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-12T21:54:00,2017-08-12T22:15:00,2.289,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-12T13:09:00,2017-08-12T13:30:00,1.783,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-12T12:56:00,2017-08-12T13:08:00,3.488,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-08T17:42:00,2017-08-08T17:57:00,1.208,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2017-08-08T17:30:00,2017-08-08T17:41:00,3.551,KWH
