nabíjecí_stanice,nabíjení_interval_začátek_datum_a_čas,nabíjení_interval_konec_datum_a_čas,spotřeba_hodnota,spotřeba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-08T09:29:00,2020-01-08T10:30:00,4.361,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-06T15:29:00,2020-01-06T15:32:00,0.241,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-06T14:45:00,2020-01-06T15:28:00,2.986,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-05T19:31:00,2020-01-05T19:46:00,1.134,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-05T19:17:00,2020-01-05T19:30:00,0.980,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-05T13:56:00,2020-01-05T16:16:00,16.481,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-04T09:04:00,2020-01-04T11:31:00,16.679,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-03T16:48:00,2020-01-03T20:03:00,20.691,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-03T10:59:00,2020-01-03T13:15:00,9.918,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-03T10:49:00,2020-01-03T10:59:00,0.725,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-02T14:39:00,2020-01-02T17:33:00,18.200,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-02T10:18:00,2020-01-02T10:32:00,0.185,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-02T07:25:00,2020-01-02T10:16:00,18.929,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-01T21:11:00,2020-01-01T00:10:00,19.509,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-01T20:48:00,2020-01-01T21:10:00,2.406,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-01T17:21:00,2020-01-01T18:05:00,4.843,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-01-01T15:17:00,2020-01-01T16:44:00,6.050,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-30T11:03:00,2020-01-30T12:11:00,0.684,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-27T08:07:00,2020-01-27T10:13:00,4.653,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-26T16:01:00,2020-01-26T17:21:00,2.385,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-25T12:25:00,2020-01-25T12:27:00,0.065,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-24T19:42:00,2020-01-24T00:16:00,10.766,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-23T23:10:00,2020-01-23T08:01:00,11.381,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-20T09:41:00,2020-01-20T18:12:00,14.586,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-04T09:06:00,2020-01-04T11:28:00,1.216,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-02T16:34:00,2020-01-02T17:33:00,0.365,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-02T15:34:00,2020-01-02T15:40:00,0.383,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-01-02T07:31:00,2020-01-02T10:27:00,1.755,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-29T12:49:00,2020-02-29T15:06:00,15.563,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-27T16:35:00,2020-02-27T20:56:00,13.876,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-27T11:51:00,2020-02-27T12:42:00,3.839,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-26T16:58:00,2020-02-26T18:32:00,7.606,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-25T08:40:00,2020-02-25T10:52:00,9.886,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-25T07:54:00,2020-02-25T08:37:00,5.094,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-24T20:31:00,2020-02-24T21:31:00,6.243,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-24T15:39:00,2020-02-24T17:11:00,10.004,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-24T14:46:00,2020-02-24T15:37:00,5.848,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-24T08:54:00,2020-02-24T10:34:00,10.305,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-22T11:04:00,2020-02-22T13:17:00,7.753,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-22T00:38:00,2020-02-22T02:11:00,10.644,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-21T07:58:00,2020-02-21T12:34:00,14.284,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-20T14:55:00,2020-02-20T15:53:00,6.410,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-20T09:42:00,2020-02-20T11:27:00,7.913,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-19T15:13:00,2020-02-19T16:47:00,10.480,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-19T07:56:00,2020-02-19T10:06:00,9.758,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-18T12:01:00,2020-02-18T12:52:00,2.290,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-18T10:39:00,2020-02-18T12:00:00,9.348,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-18T07:57:00,2020-02-18T10:38:00,11.948,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-17T13:31:00,2020-02-17T15:37:00,7.468,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-17T08:20:00,2020-02-17T08:55:00,3.741,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-16T11:28:00,2020-02-16T11:31:00,0.196,kWh
