nabijeci_stanice,nabijeni_interval_zacatek_datum_a_cas,nabijeni_interval_konec_datum_a_cas,spotreba_hodnota,spotreba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-21T13:13:00,2018-04-21T13:16:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-21T13:03:00,2018-04-21T13:12:00,0.759,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-21T13:02:00,2018-04-21T13:02:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-14T18:47:00,2018-04-14T19:08:00,2.319,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-14T15:34:00,2018-04-14T16:03:00,2.494,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-13T18:41:00,2018-04-13T23:25:00,26.960,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-12T14:53:00,2018-04-12T15:58:00,3.848,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-11T21:26:00,2018-04-11T02:56:00,29.605,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-11T19:15:00,2018-04-11T19:17:00,0.134,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-06T14:06:00,2018-04-06T15:25:00,8.530,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-06T13:35:00,2018-04-06T14:05:00,3.461,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-04-06T11:38:00,2018-04-06T12:28:00,5.511,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2018-04-21T13:18:00,2018-04-21T14:09:00,3.081,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2018-04-09T16:17:00,2018-04-09T18:38:00,5.103,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-31T08:15:00,2018-05-31T08:33:00,1.609,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-28T18:50:00,2018-05-28T19:19:00,3.050,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-26T23:32:00,2018-05-26T03:38:00,20.754,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-26T09:31:00,2018-05-26T11:27:00,33.029,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-22T07:45:00,2018-05-22T08:23:00,4.226,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-21T08:24:00,2018-05-21T08:49:00,2.301,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-18T10:44:00,2018-05-18T11:07:00,2.504,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-17T16:34:00,2018-05-17T16:45:00,1.256,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-14T17:57:00,2018-05-14T18:10:00,1.389,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-13T19:00:00,2018-05-13T19:16:00,1.728,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-13T12:30:00,2018-05-13T12:33:00,0.976,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-13T09:47:00,2018-05-13T12:27:00,9.558,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T16:56:00,2018-05-12T16:56:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T16:55:00,2018-05-12T16:55:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T16:43:00,2018-05-12T16:43:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T16:27:00,2018-05-12T16:28:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T16:27:00,2018-05-12T16:27:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T16:02:00,2018-05-12T16:02:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T16:01:00,2018-05-12T16:02:00,0.001,KWH
